"Benchmark","Mode","Threads","Samples","Score","Score Error","Unit","Param: size","Param: sparsity"
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate.norm","avgt",1,5,"788448,702128","43,697761","B/op",128,0.5
"utils.BenchmarkRunner.naiveMultiply:gc.count","avgt",1,5,"72,000000",NaN,"counts",128,0.5
"utils.BenchmarkRunner.naiveMultiply:gc.time","avgt",1,5,"114,000000",NaN,"ms",128,0.5
"utils.BenchmarkRunner.naiveMultiply","avgt",1,5,"1,434352","0,037799","ms/op",128,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate","avgt",1,5,"130,468781","2,708901","MB/sec",128,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate.norm","avgt",1,5,"322368,418457","32,388972","B/op",128,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.count","avgt",1,5,"35,000000",NaN,"counts",128,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.time","avgt",1,5,"58,000000",NaN,"ms",128,0.9
"utils.BenchmarkRunner.naiveMultiply","avgt",1,5,"19,970798","30,070303","ms/op",256,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate","avgt",1,5,"231,469411","250,472349","MB/sec",256,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate.norm","avgt",1,5,"6318490,899211","88,280674","B/op",256,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.count","avgt",1,5,"62,000000",NaN,"counts",256,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.time","avgt",1,5,"103,000000",NaN,"ms",256,0.0
"utils.BenchmarkRunner.naiveMultiply","avgt",1,5,"15,675020","3,767607","ms/op",256,0.5
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate","avgt",1,5,"179,257305","38,655770","MB/sec",256,0.5
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate.norm","avgt",1,5,"4131719,615811","287,683952","B/op",256,0.5
"utils.BenchmarkRunner.naiveMultiply:gc.count","avgt",1,5,"48,000000",NaN,"counts",256,0.5
"utils.BenchmarkRunner.naiveMultiply:gc.time","avgt",1,5,"73,000000",NaN,"ms",256,0.5
"utils.BenchmarkRunner.naiveMultiply","avgt",1,5,"14,706806","3,766351","ms/op",256,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate","avgt",1,5,"74,957995","17,463784","MB/sec",256,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate.norm","avgt",1,5,"1465583,472090","310,736920","B/op",256,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.count","avgt",1,5,"20,000000",NaN,"counts",256,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.time","avgt",1,5,"29,000000",NaN,"ms",256,0.9
"utils.BenchmarkRunner.naiveMultiply","avgt",1,5,"250,870858","120,479042","ms/op",512,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate","avgt",1,5,"106,202777","45,908823","MB/sec",512,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate.norm","avgt",1,5,"30956539,506397","151,703651","B/op",512,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.count","avgt",1,5,"31,000000",NaN,"counts",512,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.time","avgt",1,5,"138,000000",NaN,"ms",512,0.0
"utils.BenchmarkRunner.naiveMultiply","avgt",1,5,"245,456766","65,460443","ms/op",512,0.5
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate","avgt",1,5,"57,112830","14,479232","MB/sec",512,0.5
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate.norm","avgt",1,5,"16110581,521524","5536,406741","B/op",512,0.5
"utils.BenchmarkRunner.naiveMultiply:gc.count","avgt",1,5,"16,000000",NaN,"counts",512,0.5
"utils.BenchmarkRunner.naiveMultiply:gc.time","avgt",1,5,"38,000000",NaN,"ms",512,0.5
"utils.BenchmarkRunner.naiveMultiply","avgt",1,5,"257,498638","72,338801","ms/op",512,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate","avgt",1,5,"20,051372","5,175554","MB/sec",512,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate.norm","avgt",1,5,"5749533,318479","3963,859967","B/op",512,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.count","avgt",1,5,"5,000000",NaN,"counts",512,0.9
"utils.BenchmarkRunner.naiveMultiply:gc.time","avgt",1,5,"7,000000",NaN,"ms",512,0.9
"utils.BenchmarkRunner.naiveMultiply","avgt",1,5,"1998,531736","236,836575","ms/op",1024,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate","avgt",1,5,"51,711879","5,307479","MB/sec",1024,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.alloc.rate.norm","avgt",1,5,"117137987,200000","26,139038","B/op",1024,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.count","avgt",1,5,"56,000000",NaN,"counts",1024,0.0
"utils.BenchmarkRunner.naiveMultiply:gc.time","avgt",1,5,"1032,000000",NaN,"ms",1024,0.0
"utils.BenchmarkRunner.naiveMultiply","avgt",1,5,"1943,578360","48,105608","ms/op",1024,0.5
